Name	[for each]	Input	Output	Worker	Work	Length	Notes		Napkin sketch	Animation	Education	Ebook	Physical Prototype	User stdy	REdesign	Lecture	Web ad
Storyboarding	n/a	Detailed script	Storyboard	Illustrator ⋀ Animator	Turn the detailed script into a storyboard				0	1	1	1					
Character design	Character	Detailed script ⋀ Any relevant media	Character design	Illustrator	Draw the character				0	1	0	1					
Prepare character for animation	Character	Character design	Character ready for animation	Illustrator ⋁ Animator	Cut the parts to prepare it for animation				0	1	0	1					
Background design	Scene	Detailed script ⋀ Any relevant media	Background	Illustrator	Draw the background				0	1	0	1					
Character animation	Scene	Character ready for animation ⋀ Background ⋀ Detailed script	Animated sequence/widget	Animator ⋁ Developer	Animate the character in order to create the sequence or the widget				0	1	0	1					
Music ambience and description	n/a	Detailed script ⋀ Storyboard	Detailed description of music	Music artist ⋀ Director	Decide what music would fit for each scene				0	1	0	1					
Music composition	Scene	Detailed description of music	Music score	Composer	Compose the music				0	1	0	1					
Record music	Scene ⋀ Instrument	Music score	Recorded instrument	Music player	Record the instrument				0	1	0	1					
Music mix	Scene	Recorded instrument*	Music mix	Music artist	Using an audio software, put them in the timeline and adjust parameters				0	1	0	1					
Voiceover	Character	Detailed script	Voiceover	Voiceover artist	Record the voice				0	1	0	1					
Create sound effets	Sound effect	Detailed script	Sound effect	Sound effect artist	Create and record the sound effect				0	1	0	1					
Audio mix	n/a	Voiceover* ⋀ Music mix ⋀ Sound effect* ⋀ Partial video (for timing)	Audio mix	Music artist	Using an audio software, mix the audio				0	1	0	1					
Final editing	n/a	Animated sequence/widget* ⋀ Audio mix	Final video	Director	Create the final video (might include adding text, subtitles, etc.)				0	1	0	0					
Review the script	n/a	Detailed script	Script revision	Director	make sure that it is feasible to animate				0	0	1	1					
Generate quiz questions	Question	Course theme ⋀ Detailed script	Quiz question	Education expert ⋀ Topic expert	Generate a quiz question with 1 right answer and 3 wrong answers to it				0	0	1	0					
Determine graphical appearance of things	n/a	Detailed script	Graphical guidelines	Director ⋀ Illustrator					0	0	0	1					
Final authoring in iBook Author	n/a	Voiceover* ⋀ Music mix ⋀ Sound effect* ⋀ Animated sequence/widget*	iBook	Director	Tie everything together				0	0	0	1					
Create SolidWorks model		Wireframe mockup ⋀ Description of the app	Device model in SolidWorks	3D Modeler	Turn the detailed description into a casing model using SolidWorks, so that model can be 3D printed								1				
3D print device		Device model in SolidWorks	3D printed device	3D Printer	Print out the 3D model								1				
Design user study		Functional page	[Feedback method] Plan	UX Researcher	Create a detailed plan of how to run a study on the given software artifact.									1			
Critique user study design		[Feedback method] Plan	[Feedback method] Critique	UX Researcher 2	Provide a critique of the given user study plan									1			
Revise user study		[Feedback method] Plan ⋀ [Feedback method] Critique	[Feedback method] Plan	UX Researcher	Revise the study plan based on the critique		How do we enforce that this happens?							1			
Recruit study participants		[Feedback method] Plan	[Feedback method] Participants	UX Researcher	Find participants to perform the user study									1			
Run user study		[Feedback method] Plan ⋀ [Feedback method] Participants	[Feedback method] Report	UX Researcher	Run the participants through the user study and write up the results									1			
Redesign page style		Styled page ⋀ Framework list	Styled page	UI Designer	Improve the CSS and design of the given web page		Again, not sure how to enforce. Planner would never pick this...								1		
Develop educational goals		Topic	Educational goals	Educational expert ⋀ Topic expert	Create a list of educational outcomes that students should leave the class/lecture understanding.											1	
Develop lecture outline		Educational goals ⋀ Topic	Lecture outline	Educational expert ⋀ Topic expert	Produce an overview/outline of the lecture. Major components and topics, in order. Essentially: outline the slides in a detailed way.											1	
Author lecture slide content		Lecture outline	Slides (PPTX or Keynote)	Topic expert	Write the lecture slides from the outline											1	
Style slide deck		Slides (PPTX or Keynote)	Styled slides (PPTX or Keynote)	Designer	Make the slides more visually appealing and easy to understand											1	
Draft five advertisement designs		Functional page	Advertisement sketch draft	Marketing	Sketch five marketing advertisements for the software. They will be run as banner ads on major websites.		(This could also work for anything else, I just stuck with the web site material here)										
Critique advertisement design		Advertisement sketch draft	Advertisement critique	Marketing 2	Produce a critique and recommendended improvements for the advertisement design.												
Draft three advertisement designs		Advertisement critique ⋀ Advertisement sketch draft	Advertisement sketch draft v2	Marketing	Create new advertisements given the critiques												
Critique advertisement design 2		Advertisement sketch draft	Advertisement critique	Marketing 2	Produce a critique and recommendended improvements for the advertisement design.												
Draft final advertisement design		Advertisement critique ⋀ Advertisement sketch draft v2	Advertisement sketch draft v3	Marketing	Create final advertisement given the critiques												
